County,Income,TotalVote,Population,VoterProportion,PopDensity,LaborForce,Employment,Unemployment,Setting,Education,AvgWage,PopulationRange,DomIndustry
Accomack County,"57,500",17475,33271,0.53,74.00,15114,14568,546,Urban,No,$950 to $1099,Medium,No
Albemarle County,"102,617",67592,117338,0.58,163.00,61685,60089,1596,Urban,Yes,$1250 and higher,Large,Yes
Alexandria City,"113,638",81594,155600,0.52,10373.00,101530,99043,2487,Urban,Yes,$1250 and higher,Large,Yes
Alleghany County and Clifton Forge City,"55,160",8344,14355,0.58,32.00,6041,5806,235,Urban,No,949 and lower,Small,Yes
Amelia County,"66,339",8070,13704,0.59,39.00,6550,6345,205,Urban,No,$950 to $1099,Small,No
Amherst County,"67,298",17510,31244,0.56,66.00,15331,14868,463,Urban,No,$950 to $1099,Medium,Yes
Appomattox County,"62,337",9726,17186,0.57,51.00,8106,7847,259,Urban,No,949 and lower,Small,No
Arlington County,"140,160",130715,235130,0.56,9043.00,155005,151547,3458,Urban,Yes,$1250 and higher,Large,No
Augusta County,"79,972",44609,78863,0.57,82.00,40534,39538,996,Urban,No,$1100 to $1249,Large,No
Bath County,"61,709",2602,4031,0.65,8.00,2225,2168,57,Rural,No,$1100 to $1249,Small,Yes
Bedford City and County,"77,644",51334,83093,0.62,109.00,38924,37775,1149,Urban,No,$950 to $1099,Large,No
Bland County,"61,375",3572,6261,0.57,17.00,2646,2560,86,Urban,No,$1250 and higher,Small,Yes
Botetourt County,"80,467",22072,34175,0.65,63.00,17439,16995,444,Urban,No,$1100 to $1249,Medium,No
Bristol City,"44,706",7531,16541,0.46,1272.00,7586,7316,270,Urban,No,$950 to $1099,Small,No
Brunswick County,"52,978",7808,15585,0.5,28.00,6603,6337,266,Urban,No,$950 to $1099,Small,No
Buchanan County,"42,216",9466,18495,0.51,37.00,6275,6010,265,Urban,No,$1250 and higher,Small,Yes
Buckingham County,"59,199",7978,16958,0.47,29.00,7240,6990,250,Urban,No,$950 to $1099,Small,Yes
Buena Vista City,"54,458",2886,6560,0.44,1093.00,3172,3078,94,Urban,No,$950 to $1099,Small,No
Campbell County,"62,608",31367,55680,0.56,111.00,27334,26516,818,Urban,No,$1100 to $1249,Large,Yes
Caroline County,"86,267",17762,34040,0.52,65.00,16672,16164,508,Urban,No,$950 to $1099,Medium,No
Carroll County,"52,575",16286,29481,0.55,62.00,12384,11920,464,Urban,No,949 and lower,Medium,Yes
Charles City County,"70,339",4469,6694,0.67,37.00,3483,3365,118,Urban,No,$1100 to $1249,Small,No
Charlotte County,"48,892",6051,11208,0.54,24.00,4897,4731,166,Urban,No,949 and lower,Small,No
Charlottesville City,"69,829",23563,44405,0.53,4441.00,25322,24709,613,Urban,Yes,$1250 and higher,Medium,Yes
Chesterfield County,"98,910",211995,395048,0.54,932.00,206789,200909,5880,Urban,No,$1250 and higher,Large,No
Clarke County,"114,185",9893,15736,0.63,89.00,8256,8043,213,Urban,No,$1100 to $1249,Small,No
Colonial Heights City,"76,250",9007,18623,0.48,2328.00,9441,9144,297,Urban,No,949 and lower,Small,No
Covington City,"42,724",2492,5369,0.46,1074.00,2209,2118,91,Urban,No,$1100 to $1249,Small,Yes
Craig County,"67,778",3154,4813,0.66,15.00,2107,2038,69,Rural,No,$950 to $1099,Small,No
Culpeper County,"96,098",28849,56339,0.51,149.00,28745,27995,750,Urban,No,$1100 to $1249,Large,No
Cumberland County,"57,057",5523,10132,0.55,34.00,5540,5391,149,Urban,No,$950 to $1099,Small,No
Danville City,"42,778",17949,41477,0.43,965.00,18054,17126,928,Urban,No,$950 to $1099,Medium,Yes
Dickenson County,"43,831",7108,13454,0.53,41.00,4808,4608,200,Urban,No,$1100 to $1249,Small,Yes
Dinwiddie County,"83,898",15696,28831,0.54,57.00,14459,14016,443,Urban,No,$1250 and higher,Medium,No
Emporia City,"49,375",2198,5323,0.41,760.00,2362,2226,136,Urban,No,949 and lower,Small,Yes
Essex County,"56,481",6102,10534,0.58,41.00,5021,4824,197,Urban,No,949 and lower,Small,No
Fairfax City,"132,774",13774,25928,0.53,4321.00,14371,14030,341,Urban,Yes,$1250 and higher,Small,No
Fairfax County,"150,113",593752,1147016,0.52,2934.00,653125,636719,16406,Urban,Yes,$1250 and higher,Large,No
Falls Church City,"154,734",9094,15077,0.6,7539.00,8386,8183,203,Urban,Yes,$1250 and higher,Small,No
Fauquier County,"129,495",44976,76141,0.59,118.00,42758,41758,1000,Urban,No,$1250 and higher,Large,No
Floyd County,"61,401",9693,15791,0.61,41.00,8708,8478,230,Urban,No,949 and lower,Small,No
Fluvanna County,"91,959",16890,29152,0.58,102.00,14955,14591,364,Urban,No,$1100 to $1249,Medium,No
Franklin City,"65,125",3926,8469,0.46,1059.00,3627,3484,143,Urban,No,$950 to $1099,Small,No
Franklin County,"68,348",31183,56489,0.55,82.00,26630,25826,804,Urban,No,949 and lower,Large,Yes
Frederick County,"95,603",52385,98366,0.53,238.00,51973,50624,1349,Urban,No,$1100 to $1249,Large,No
Fredericksburg City,"85,368",13728,29488,0.47,2949.00,16408,15906,502,Urban,No,$1100 to $1249,Medium,No
Galax City,"41,438",2746,6747,0.41,843.00,2977,2874,103,Urban,No,949 and lower,Small,Yes
Giles County,"64,819",9313,16507,0.56,46.00,7953,7707,246,Urban,No,$950 to $1099,Small,Yes
Gloucester County,"83,689",23288,41071,0.57,188.00,20721,20186,535,Urban,No,949 and lower,Medium,No
Goochland County,"118,695",19826,29267,0.68,104.00,13608,13230,378,Urban,No,$1250 and higher,Medium,No
Grayson County,"42,864",8156,15205,0.54,34.00,7125,6906,219,Urban,No,949 and lower,Small,No
Greene County,"85,268",12186,21873,0.56,140.00,11821,11532,289,Urban,No,949 and lower,Small,No
Greensville County,"56,759",4327,10991,0.39,37.00,3821,3652,169,Urban,No,$1100 to $1249,Small,Yes
Halifax County with South Boston City,"49,244",18029,33056,0.55,40.00,14788,14169,619,Urban,No,$950 to $1099,Medium,No
