County,Income,TotalVote,Population,VoterProportion,PopDensity,LaborForce,Employment,Unemployment,Setting,Education,PopulationRange,DomIndustry
Accomack County,57500.00,17475.00,33271.00,0.53,74.00,15114.00,14568.00,546.00,1,0,1,0
Albemarle County,102617.00,67592.00,117338.00,0.58,163.00,61685.00,60089.00,1596.00,1,1,2,1
Alexandria City,113638.00,81594.00,155600.00,0.52,10373.00,101530.00,99043.00,2487.00,1,1,2,1
Alleghany County and Clifton Forge City,55160.00,8344.00,14355.00,0.58,32.00,6041.00,5806.00,235.00,1,0,0,1
Amelia County,66339.00,8070.00,13704.00,0.59,39.00,6550.00,6345.00,205.00,1,0,0,0
Amherst County,67298.00,17510.00,31244.00,0.56,66.00,15331.00,14868.00,463.00,1,0,1,1
Appomattox County,62337.00,9726.00,17186.00,0.57,51.00,8106.00,7847.00,259.00,1,0,0,0
Arlington County,140160.00,130715.00,235130.00,0.56,9043.00,155005.00,151547.00,3458.00,1,1,2,0
Augusta County,79972.00,44609.00,78863.00,0.57,82.00,40534.00,39538.00,996.00,1,0,2,0
Bath County,61709.00,2602.00,4031.00,0.65,8.00,2225.00,2168.00,57.00,0,0,0,1
Bedford City and County,77644.00,51334.00,83093.00,0.62,109.00,38924.00,37775.00,1149.00,1,0,2,0
Bland County,61375.00,3572.00,6261.00,0.57,17.00,2646.00,2560.00,86.00,1,0,0,1
Botetourt County,80467.00,22072.00,34175.00,0.65,63.00,17439.00,16995.00,444.00,1,0,1,0
Bristol City,44706.00,7531.00,16541.00,0.46,1272.00,7586.00,7316.00,270.00,1,0,0,0
Brunswick County,52978.00,7808.00,15585.00,0.5,28.00,6603.00,6337.00,266.00,1,0,0,0
Buchanan County,42216.00,9466.00,18495.00,0.51,37.00,6275.00,6010.00,265.00,1,0,0,1
Buckingham County,59199.00,7978.00,16958.00,0.47,29.00,7240.00,6990.00,250.00,1,0,0,1
Buena Vista City,54458.00,2886.00,6560.00,0.44,1093.00,3172.00,3078.00,94.00,1,0,0,0
Campbell County,62608.00,31367.00,55680.00,0.56,111.00,27334.00,26516.00,818.00,1,0,2,1
Caroline County,86267.00,17762.00,34040.00,0.52,65.00,16672.00,16164.00,508.00,1,0,1,0
Carroll County,52575.00,16286.00,29481.00,0.55,62.00,12384.00,11920.00,464.00,1,0,1,1
Charles City County,70339.00,4469.00,6694.00,0.67,37.00,3483.00,3365.00,118.00,1,0,0,0
Charlotte County,48892.00,6051.00,11208.00,0.54,24.00,4897.00,4731.00,166.00,1,0,0,0
Charlottesville City,69829.00,23563.00,44405.00,0.53,4441.00,25322.00,24709.00,613.00,1,1,1,1
Chesterfield County,98910.00,211995.00,395048.00,0.54,932.00,206789.00,200909.00,5880.00,1,0,2,0
Clarke County,114185.00,9893.00,15736.00,0.63,89.00,8256.00,8043.00,213.00,1,0,0,0
Colonial Heights City,76250.00,9007.00,18623.00,0.48,2328.00,9441.00,9144.00,297.00,1,0,0,0
Covington City,42724.00,2492.00,5369.00,0.46,1074.00,2209.00,2118.00,91.00,1,0,0,1
Craig County,67778.00,3154.00,4813.00,0.66,15.00,2107.00,2038.00,69.00,0,0,0,0
Culpeper County,96098.00,28849.00,56339.00,0.51,149.00,28745.00,27995.00,750.00,1,0,2,0
Cumberland County,57057.00,5523.00,10132.00,0.55,34.00,5540.00,5391.00,149.00,1,0,0,0
Danville City,42778.00,17949.00,41477.00,0.43,965.00,18054.00,17126.00,928.00,1,0,1,1
Dickenson County,43831.00,7108.00,13454.00,0.53,41.00,4808.00,4608.00,200.00,1,0,0,1
Dinwiddie County,83898.00,15696.00,28831.00,0.54,57.00,14459.00,14016.00,443.00,1,0,1,0
Emporia City,49375.00,2198.00,5323.00,0.41,760.00,2362.00,2226.00,136.00,1,0,0,1
Essex County,56481.00,6102.00,10534.00,0.58,41.00,5021.00,4824.00,197.00,1,0,0,0
Fairfax City,132774.00,13774.00,25928.00,0.53,4321.00,14371.00,14030.00,341.00,1,1,0,0
Fairfax County,150113.00,593752.00,1147016.00,0.52,2934.00,653125.00,636719.00,16406.00,1,1,2,0
Falls Church City,154734.00,9094.00,15077.00,0.6,7539.00,8386.00,8183.00,203.00,1,1,0,0
Fauquier County,129495.00,44976.00,76141.00,0.59,118.00,42758.00,41758.00,1000.00,1,0,2,0
Floyd County,61401.00,9693.00,15791.00,0.61,41.00,8708.00,8478.00,230.00,1,0,0,0
Fluvanna County,91959.00,16890.00,29152.00,0.58,102.00,14955.00,14591.00,364.00,1,0,1,0
Franklin City,65125.00,3926.00,8469.00,0.46,1059.00,3627.00,3484.00,143.00,1,0,0,0
Franklin County,68348.00,31183.00,56489.00,0.55,82.00,26630.00,25826.00,804.00,1,0,2,1
Frederick County,95603.00,52385.00,98366.00,0.53,238.00,51973.00,50624.00,1349.00,1,0,2,0
Fredericksburg City,85368.00,13728.00,29488.00,0.47,2949.00,16408.00,15906.00,502.00,1,0,1,0
Galax City,41438.00,2746.00,6747.00,0.41,843.00,2977.00,2874.00,103.00,1,0,0,1
Giles County,64819.00,9313.00,16507.00,0.56,46.00,7953.00,7707.00,246.00,1,0,0,1
Gloucester County,83689.00,23288.00,41071.00,0.57,188.00,20721.00,20186.00,535.00,1,0,1,0
Goochland County,118695.00,19826.00,29267.00,0.68,104.00,13608.00,13230.00,378.00,1,0,1,0
Grayson County,42864.00,8156.00,15205.00,0.54,34.00,7125.00,6906.00,219.00,1,0,0,0
Greene County,85268.00,12186.00,21873.00,0.56,140.00,11821.00,11532.00,289.00,1,0,0,0
Greensville County,56759.00,4327.00,10991.00,0.39,37.00,3821.00,3652.00,169.00,1,0,0,1
Halifax County with South Boston City,49244.00,18029.00,33056.00,0.55,40.00,14788.00,14169.00,619.00,1,0,1,0
Hampton City,67758.00,63128.00,135578.00,0.47,2658.00,67433.00,64997.00,2436.00,1,0,2,1
Hanover County,109504.00,73850.00,116724.00,0.63,249.00,62896.00,61302.00,1594.00,1,0,2,0
Harrisonburg City,59752.00,17580.00,50946.00,0.35,2997.00,26367.00,25492.00,875.00,1,0,1,0
Henrico County,86397.00,182812.00,335174.00,0.55,1432.00,187213.00,181737.00,5476.00,1,0,2,0
Henry County,48445.00,25517.00,49516.00,0.52,130.00,21469.00,20620.00,849.00,1,0,1,1
Highland County,62946.00,1544.00,2425.00,0.64,6.00,1146.00,1113.00,33.00,0,0,0,1
Hopewell City,48681.00,9103.00,22676.00,0.4,2268.00,10220.00,9788.00,432.00,1,0,0,1
Isle of Wight County,96118.00,24857.00,41863.00,0.59,132.00,20977.00,20400.00,577.00,1,0,1,1
James City County,107046.00,51657.00,84996.00,0.61,599.00,38427.00,37333.00,1094.00,1,1,2,1
King and Queen County,72851.00,4208.00,6732.00,0.63,21.00,3621.00,3516.00,105.00,1,0,0,0
King George County,110517.00,15521.00,29868.00,0.52,166.00,15001.00,14595.00,406.00,1,0,1,1
King William County,85212.00,11636.00,20032.00,0.58,73.00,10597.00,10325.00,272.00,1,0,0,1
Lancaster County,67169.00,7355.00,10965.00,0.67,82.00,4741.00,4537.00,204.00,1,0,0,1
Lee County,42269.00,10179.00,21541.00,0.47,50.00,7793.00,7504.00,289.00,1,0,0,0
Lexington City,89598.00,2929.00,7572.00,0.39,3786.00,3445.00,3301.00,144.00,1,1,0,0
Loudoun County,178707.00,231553.00,443457.00,0.52,859.00,254773.00,248477.00,6296.00,1,1,2,0
