observation_date,MEHOINUSVAA646N
1984-01-01,26530
1985-01-01,28430
1986-01-01,29720
1987-01-01,30000
1988-01-01,32650
1989-01-01,34120
1990-01-01,35070
1991-01-01,36140
1992-01-01,38200
1993-01-01,36430
1994-01-01,37650
1995-01-01,36220
1996-01-01,39210
1997-01-01,42960
1998-01-01,43350
1999-01-01,45690
2000-01-01,47160
2001-01-01,50240
2002-01-01,49630
2003-01-01,54780
2004-01-01,51140
2005-01-01,51910
2006-01-01,57120
2007-01-01,59160
2008-01-01,61990
2009-01-01,60500
2010-01-01,60370
2011-01-01,62620
2012-01-01,64630
2013-01-01,65910
2014-01-01,66160
2015-01-01,61490
2016-01-01,66450
2017-01-01,70810
2018-01-01,77150
2019-01-01,81310
2020-01-01,82210
2021-01-01,80270
2022-01-01,85170
2023-01-01,96490
